Date,Buy Price (VND),Sell Price (VND)
2026-01-17,160800000.0,162800000.0
2026-01-18,160800000.0,162800000.0
2026-01-19,163000000.0,165000000.0
2026-01-20,163000000.0,165000000.0
2026-01-21,167200000.0,169200000.0
2026-01-21,168500000.0,170500000.0
2026-01-22,166700000.0,168700000.0
2026-01-23,171300000.0,173300000.0
2026-01-23,171300000.0,173300000.0
2026-01-23,171300000.0,173300000.0
