date,type,factor,buy_old,sell_old,buy_new,sell_new,day_median
2015-03-13,SJC,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-13,SJC10c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-13,SJC1c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-13,SJC99.99,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-03-13,SJC99.99N,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-03-14,SJC,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-14,SJC10c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-14,SJC1c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-03-14,SJC99.99,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-03-14,SJC99.99N,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-05-02,SJC,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-02,SJC10c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-02,SJC1c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-02,SJC99.99,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-05-02,SJC99.99N,1000.0,32000.0,32000.0,32000000.0,32000000.0,35000000.0
2015-05-30,SJC,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-30,SJC10c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-30,SJC1c,1000.0,35000.0,35000.0,35000000.0,35000000.0,35000000.0
2015-05-30,SJC99.99,1000.0,31000.0,32000.0,31000000.0,32000000.0,35000000.0
2015-05-30,SJC99.99N,1000.0,32000.0,32000.0,32000000.0,32000000.0,35000000.0
2015-06-27,SJC,1000.0,34000.0,34000.0,34000000.0,34000000.0,34000000.0
2015-06-27,SJC10c,1000.0,34000.0,34000.0,34000000.0,34000000.0,34000000.0
2015-06-27,SJC1c,1000.0,34000.0,34000.0,34000000.0,34000000.0,34000000.0
2015-06-27,SJC99.99,1000.0,31000.0,32000.0,31000000.0,32000000.0,34000000.0
2015-06-27,SJC99.99N,1000.0,32000.0,32000.0,32000000.0,32000000.0,34000000.0
2016-05-21,SJC,1000.0,34000.0,34000.0,34000000.0,34000000.0,33930000.0
2016-05-21,SJC10c,1000.0,34000.0,34000.0,34000000.0,34000000.0,33930000.0
2016-05-21,SJC1c,1000.0,34000.0,34000.0,34000000.0,34000000.0,33930000.0
2016-05-21,SJC99.99,1000.0,33000.0,34000.0,33000000.0,34000000.0,33930000.0
2016-05-21,SJC99.99N,1000.0,34000.0,34000.0,34000000.0,34000000.0,33930000.0
2016-06-24,SJC,1000.0,34000.0,34000.0,34000000.0,34000000.0,34100000.0
2016-06-24,SJC10c,1000.0,34000.0,34000.0,34000000.0,34000000.0,34100000.0
2016-06-24,SJC1c,1000.0,34000.0,34000.0,34000000.0,34000000.0,34100000.0
2016-06-24,SJC99.99,1000.0,34000.0,34000.0,34000000.0,34000000.0,34100000.0
2016-06-24,SJC99.99N,1000.0,34000.0,34000.0,34000000.0,34000000.0,34100000.0
2016-07-30,SJC,1000.0,36000.0,37000.0,36000000.0,37000000.0,36680000.0
2016-07-30,SJC10c,1000.0,36000.0,37000.0,36000000.0,37000000.0,36680000.0
2016-07-30,SJC1c,1000.0,36000.0,37000.0,36000000.0,37000000.0,36680000.0
2016-07-30,SJC99.99,1000.0,35000.0,36000.0,35000000.0,36000000.0,36680000.0
2016-07-30,SJC99.99N,1000.0,36000.0,36000.0,36000000.0,36000000.0,36680000.0
2016-08-06,SJC,1000.0,36000.0,37000.0,36000000.0,37000000.0,36850000.0
2016-08-06,SJC10c,1000.0,36000.0,37000.0,36000000.0,37000000.0,36850000.0
2016-08-06,SJC1c,1000.0,36000.0,37000.0,36000000.0,37000000.0,36850000.0
2016-08-06,SJC99.99,1000.0,35000.0,36000.0,35000000.0,36000000.0,36850000.0
2016-08-06,SJC99.99N,1000.0,36000.0,36000.0,36000000.0,36000000.0,36850000.0
2016-08-20,SJC,1000.0,36000.0,37000.0,36000000.0,37000000.0,36680000.0
2016-08-20,SJC10c,1000.0,36000.0,37000.0,36000000.0,37000000.0,36680000.0
